titulo,categoria,resumen,puntos_clave,enlace,fecha_procesado
📊 Aprendizaje por Refuerzo Profundo en Inversión por Factores,"📂 Ingeniería Computacional, Finanzas y Ciencia","📝 Presenta CAFPO, un enfoque que comprime retornos accionarios en factores latentes para optimización de portafolios con DRL. Logra 24.6% de retorno compuesto y ratio Sharpe de 0.94 en datos históricos de EE.UU.","🎯 DRL para construcción de portafolios, Compresión de espacio de estados, Supera métodos tradicionales, Análisis SHAP interpretable",🔗 https://arxiv.org/pdf/2509.16206,2025-09-23
🚚 Aprendizaje Automático Predictivo para Aumentar el Rendimiento de Patios de Contenedores,"📂 Ingeniería Computacional, Finanzas y Ciencia",📝 Propone un Sistema de Planificación Inteligente (IPS) que aplica optimización Pareto mediante programación lineal entera mixta. Mejora volúmenes de procesamiento y tiempos en terminales de contenedores manteniendo mano de obra humana.,"🎯 Optimización de patios de contenedores, MILP para programación, Mejora de throughput, Solución no completamente automatizada",🔗 https://arxiv.org/pdf/2509.16207,2025-09-23
🏗️ Síntesis de Predicción de Vida Útil para Puentes en Texas,"📂 Ingeniería Computacional, Finanzas y Ciencia","📝 Revisa prácticas actuales y avances recientes en predicción de vida útil de puentes. Proporciona guías prácticas para evaluar y extender la vida útil de estructuras existentes y nuevas, optimizando fondos de mantenimiento.","🎯 Gestión de infraestructura envejecida, Modelos de deterioro cuantitativos, Priorización de reparaciones, Uso eficiente de recursos",🔗 https://arxiv.org/pdf/2509.16208,2025-09-23
🔄 Escalado de Modelos de Gemelos Digitales,"📂 Ingeniería Computacional, Finanzas y Ciencia",📝 Introduce una metodología novedosa que aplica análisis dimensional y machine learning para escalar gemelos digitales entre diferentes tamaños de productos. Elimina la necesidad de recalibración física para cada variante de tamaño.,"🎯 Escalado de gemelos digitales, Análisis dimensional con ML, Aplicación en vehículos de construcción, Reducción de costos de calibración",🔗 https://arxiv.org/pdf/2509.16209,2025-09-23
titulo,categoria,resumen,puntos_clave,enlace,fecha_procesado
🔬 Localización de deformación en homogeneización asintótica de orden reducido,📂 Ingeniería Computacional,"Se propone una técnica multiescala basada en homogeneización asintótica de orden reducido para capturar daño y efectos inelásticos en materiales compuestos. Utiliza un procedimiento de homogeneización a dos escalas donde la representación de eigen-deformaciones explica la respuesta inelástica, reduciendo el esfuerzo computacional mediante técnicas de reducción de orden.","Homogeneización multiescala, Mecánica de daño continuo, Reducción de orden computacional, Captura de deformaciones inelásticas",🔗 https://arxiv.org/pdf/2509.16210,2025-09-23
🔬 Metodología E²E²-TFA para análisis de falla en materiales compuestos elastoplásticos,📂 Ingeniería Computacional,Describe una metodología de homogeneización novedosa para analizar la falla de materiales compuestos elastoplásticos basada en análisis de campo de transformación impulsado por tensores de influencia elástica y eigen. Considera campos de eigen-deformación microscópica para daño intra-fase y deformaciones inelásticas.,"Transformación field analysis, Modelado de orden reducido, Simulación de composites, Respuesta post-daño realista",🔗 https://arxiv.org/pdf/2509.16211,2025-09-23
⚙️ Marco eficiente para computar sensibilidad de características dinámicas estructurales multimodales,📂 Ingeniería Computacional,Propone una estrategia novedosa para resolver la sensibilidad de características dinámicas estructurales relacionadas con autovectores respecto a múltiples variables. Desarrolla un método algebraico para simplificar los cálculos de sensibilidad y establece un marco computacional eficiente.,"Sensibilidad de autovectores, Características dinámicas estructurales, Método iterativo preconditioning, Reducción de tiempo computacional",🔗 https://arxiv.org/pdf/2509.16214,2025-09-23
🔍 Detección de defectos internos en medios estructurados,📂 Ingeniería Computacional,Investiga estrategias robustas para imagear defectos internos usando mediciones mínimas no invasivas. Modela fenómenos físicos con la ecuación de onda unidimensional y emplea transformada de Laplace y optimización para desarrollar ideas de imageado de defectos.,"Detección de fracturas internas, Ecuación de onda 1D, Transformada de Laplace, Optimización para imageado",🔗 https://arxiv.org/pdf/2509.16216,2025-09-23
💻 Simulador eficiente de circuitos no lineales transitorios usando integración exponencial,📂 Ingeniería Computacional,Presenta un simulador transitorio de circuitos lineales y no lineales que aborda limitaciones de herramientas EDA actuales. Adopta enfoque de regularización row-echelon generalizada y emplea productos matriz-exponencial vector para integración.,"Simulación de circuitos transitorios, Integración exponencial, Preconditioner Block-Jacobi, Aceleración GMRES",🔗 https://arxiv.org/pdf/2509.16219,2025-09-23
📊 Dataset abierto para modelado de temperatura en máquinas herramienta,📂 Ingeniería Computacional,Introduce un dataset estructurado de alta resolución de simulaciones térmicas transitorias para el eje vertical de un banco de prueba de máquina herramienta. Incluye valores de temperatura y flujo de calor en 29 ubicaciones a lo largo de 1800 pasos de tiempo.,"Dataset térmico, Simulación por elementos finitos, Aprendizaje automático, Modelado térmico",🔗 https://arxiv.org/pdf/2509.16222,2025-09-23
🧵 Incremento de contacto inter-fibra en el modelo Altendorf-Jeulin,📂 Ingeniería Computacional,Propone una extensión del empaquetamiento iterativo de fibras con sesgo de fuerza de Altendorf & Jeulin para modelar explícitamente el número de contactos inter-fibra. Añade fuerzas adicionales para aumentar los contactos y validar el empaquetamiento.,"Materiales fibrosos, Empaquetamiento force-biased, Contactos inter-fibra, Gemelos digitales",🔗 https://arxiv.org/pdf/2509.16225,2025-09-23
📈 Aprender a clasificar inversionistas riesgosos: Estudio de caso de traders minoristas,📂 Finanzas Computacionales,"Propone PA-RiskRanker, un clasificador de riesgo consciente de ganancias que reformula la identificación de traders riesgosos como tarea de ranking usando algoritmos Learning-to-Rank. Incluye función de pérdida PA-BCE y arquitectura transformer-based.","Gestión de riesgo financiero, Learning-to-Rank, Transformers, Identificación de traders riesgosos",🔗 https://arxiv.org/pdf/2509.16616,2025-09-23
🧬 Transformers multimodales racionales para predicción de TCR-pMHC,📂 Bioinformática Computacional,"Presenta un enfoque explicable para construir modelos transformer que predicen interacciones TCR-pMHC, fundamentales en inmunidad adaptativa. Utiliza método de explicabilidad post-hoc para optimizar estrategias de cross-attention y objetivos de entrenamiento auxiliares.","Inmunología computacional, Transformers explicables, Predicción TCR-pMHC, Reconocimiento inmunológico",🔗 https://arxiv.org/pdf/2509.17305,2025-09-23
🧠 MIND: Decodificación neural invariante multi-sujeto con interpretabilidad,📂 Neurociencia Computacional,"Presenta iiMIND, modelo de decodificación neural que emplea marco dual de decodificación (biométrica y semántica) para ofrecer interpretabilidad neural. Establece espacio de representación neural compartido mediante autoencoder enmascarado basado en ViT.","Decodificación neural visual, Interpretabilidad cerebral, Autoencoder enmascarado, Procesamiento visual neural",🔗 https://arxiv.org/pdf/2509.17313,2025-09-23
